channelId,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,textDisplay_processed,sentiment_polarity,sentiment_BERT
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"Pero era obvio que iba a ser horrible este juego, teniendo tantos personajes, tantas historias, eligen a GOLLUM !!!???. tranquilamente pueden hacer como el howars legacy pero siendo un soldado de gondor o uno de la banda de aragorn, con mecanicas de aventura y accion, no se, algo divertido y bueno.","Pero era obvio que iba a ser horrible este juego, teniendo tantos personajes, tantas historias, eligen a GOLLUM !!!???. tranquilamente pueden hacer como el howars legacy pero siendo un soldado de gondor o uno de la banda de aragorn, con mecanicas de aventura y accion, no se, algo divertido y bueno.",@MrMauro21,https://yt3.ggpht.com/ytc/AIf8zZRrK1_huIHN1cJRA-uqTZS7pS3tKTC_283p4Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC-RAxAzUHWW10a1hBQetTdQ,{'value': 'UC-RAxAzUHWW10a1hBQetTdQ'},True,none,1,2023-06-05T13:00:05Z,2023-06-05T13:00:05Z,,obvio iba ser horrible juego tantos personajes tantas historias eligen gollum tranquilamente pueden hacer howars legacy siendo soldado gondor banda aragorn mecanicas aventura accion divertido bueno,-0.5423,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"Se ve horrible, pero no horrible de chido, sino horrible de generación pasada. Hasta el Witcher 3 se ve muchísimo mejor, aún antes de su upgrade gráfico","Se ve horrible, pero no horrible de chido, sino horrible de generación pasada. Hasta el Witcher 3 se ve muchísimo mejor, aún antes de su upgrade gráfico",@n.deadman8072,https://yt3.ggpht.com/ytc/AIf8zZRrmHydZF6O9wRdfBfjQSE3aNO_nRoJ9it58SRTjA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCe_alcxc95LCHNGpandSCSw,{'value': 'UCe_alcxc95LCHNGpandSCSw'},True,none,0,2023-05-31T18:50:09Z,2023-05-31T18:51:14Z,,ve horrible horrible chido sino horrible generación pasada witcher 3 ve muchísimo mejor aún upgrade gráfico,-0.8885,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,A mí me parece buena idea ya que gollum me encanta y es un personaje mítico pero partiendo de que gollum gráficamente es lamentable y es lo principal del juego pues nada podía salir bien <br>Este juego es una falta de respeto a tolkien y al propio personaje de gollum,"A mí me parece buena idea ya que gollum me encanta y es un personaje mítico pero partiendo de que gollum gráficamente es lamentable y es lo principal del juego pues nada podía salir bien 
Este juego es una falta de respeto a tolkien y al propio personaje de gollum",@victoribarra4153,https://yt3.ggpht.com/ytc/AIf8zZQQReM8SnlcnShmJGP1OyVha4EmSmkBEuqZXA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCNnZPaLqPpm9gTluBlocoXA,{'value': 'UCNnZPaLqPpm9gTluBlocoXA'},True,none,0,2023-05-29T13:33:27Z,2023-05-29T13:33:27Z,,parece buena idea gollum encanta personaje mítico partiendo gollum gráficamente lamentable principal juego pues podía salir bien breste juego falta respeto tolkien propio personaje gollum,-0.3612,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"el ultimo buen juego del señor de los anillos, o los ultimos buenos juegos para mi:<br><br>Shadow of Mordor  y Shadow of <br>War.<br><br>toda la saga Battle for Middle Earth.<br><br>eh dicho!!","el ultimo buen juego del señor de los anillos, o los ultimos buenos juegos para mi:

Shadow of Mordor  y Shadow of 
War.

toda la saga Battle for Middle Earth.

eh dicho!!",@Leoelpillo,https://yt3.ggpht.com/ytc/AIf8zZSHPXydrbx_b9jSXDq2bNqSL29H3DaPd8KNacsPKQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC7OFusd0XDmsWf0I65UK7HA,{'value': 'UC7OFusd0XDmsWf0I65UK7HA'},True,none,1,2023-05-29T12:18:50Z,2023-05-29T12:18:50Z,,ultimo buen juego señor anillos ultimos buenos juegos mibrbrshadow of mordor shadow of brwarbrbrtoda saga battle for middle earthbrbreh dicho,-0.3818,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"marre mia, destrozaron y despedazaron star wars, y ahora estan haciendo lo mismo con el señor de los anillos, parece que la industria se ha empeñado en matar a toda gran franquicia","marre mia, destrozaron y despedazaron star wars, y ahora estan haciendo lo mismo con el señor de los anillos, parece que la industria se ha empeñado en matar a toda gran franquicia",@Nmakiavelo,https://yt3.ggpht.com/ytc/AIf8zZRXQOcW9taNsvRPHewQtRXcS9QGkJuSuAjNXse68g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCVm9j5IDM95D5RgFB3VTZOw,{'value': 'UCVm9j5IDM95D5RgFB3VTZOw'},True,none,0,2023-05-27T17:55:14Z,2023-05-27T17:55:14Z,,marre mia destrozaron despedazaron star wars ahora estan haciendo mismo señor anillos parece industria empeñado matar toda gran franquicia,-0.7003,
UC05m1jT_pGm-DJKlpXsBYkA,,"Shadows of mordor y shadows of war. Son dos juegazos del señor de los anillos, sobretodo el shadows of war, que tenes todo mordor para explorar","Shadows of mordor y shadows of war. Son dos juegazos del señor de los anillos, sobretodo el shadows of war, que tenes todo mordor para explorar",@inhaleOcea,https://yt3.ggpht.com/gLjjkod50ivSEIXxa62KnfzZZXlqeEPDj21B0OAny_OpccNarexWlU-eN1Jes8uD8inOkpCPdwc=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@inhaleOcea,{'value': 'UCHxcdjHWg9lw00CS7QlGFaA'},True,none,3,2023-06-01T15:13:54Z,2023-06-01T15:13:54Z,UgyeaImvYeucohqOTKN4AaABAg,shadows of mordor shadows of war dos juegazos señor anillos sobretodo shadows of war tenes mordor explorar,-0.8316,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"Horrible, gráficos del año 2005","Horrible, gráficos del año 2005",@yoker88,https://yt3.ggpht.com/ytc/AIf8zZTCxKa7yCNkSkm8FNRs1ilsoNQgbHsFtXltehmi=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCOCqB9Mqby7KmLcPUXGZQZg,{'value': 'UCOCqB9Mqby7KmLcPUXGZQZg'},True,none,0,2023-05-26T16:15:22Z,2023-05-26T16:15:22Z,,horrible gráficos año 2005,-0.5423,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,Próximo juego<br>Star Wars: la venganza de R2D2,"Próximo juego
Star Wars: la venganza de R2D2",@gerawilly159357,https://yt3.ggpht.com/ytc/AIf8zZRV_Y7s-qA7mauZxXGblMSII7ka7wqTf0TFFLwtTg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCteiRFppmLLfnSXpAGoIElQ,{'value': 'UCteiRFppmLLfnSXpAGoIElQ'},True,none,1,2023-05-26T06:18:39Z,2023-05-26T06:18:39Z,,próximo juegobrstar wars venganza r2d2,-0.5574,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,"Se ve horrible esa porquería, la mejor saga de fantasía épica y hacen semejante bodrio","Se ve horrible esa porquería, la mejor saga de fantasía épica y hacen semejante bodrio",@Reaven1100,https://yt3.ggpht.com/vsH1OvvNqv-aRMQHPoz2VbBDd1elH5_zmOHO4yA9iT_V5W5oilMDzscTUXUKBSaUti4xwnhUDxA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCXVL2vnreRjD4_XVPgHxwAw,{'value': 'UCXVL2vnreRjD4_XVPgHxwAw'},True,none,0,2023-05-26T02:05:33Z,2023-05-26T02:05:33Z,,ve horrible porquería mejor saga fantasía épica hacen semejante bodrio,-0.5423,
UC05m1jT_pGm-DJKlpXsBYkA,sfGLzac6QIs,carajo Gollum le aplicaron DEMASIADO ACHE DE,carajo Gollum le aplicaron DEMASIADO ACHE DE,@Soragta,https://yt3.ggpht.com/xiwQblWLuGM8Gk97x21BkYZe5mVKRuGRGQp4Jf4qefGiAChcKB1QnJ3Omh4ijvZgkfKHR21fNA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCq_toqUJBg326RJyug0wopg,{'value': 'UCq_toqUJBg326RJyug0wopg'},True,none,0,2023-05-26T01:52:11Z,2023-05-26T01:52:11Z,,carajo gollum aplicaron demasiado ache,-0.3818,
